Simulation Count,Average Cost,Error,Percent Error,,
273000,25503.01978,10.3768177362,0.0406885844,,
274000,25528.010584,14.6139862638,0.057246867,,
275000,25508.143273,5.2533247362,0.0205946967,,
276000,25537.571014,24.1744162638,0.0946621597,,
277000,25483.849819,29.5467787362,0.115943152,,
278000,25518.476978,5.0803802638,0.0199086343,,
279000,25491.093907,22.3026907362,0.0874920897,,
280000,25512.686071,0.7105267362,0.0027849938,,
281000,25503.563345,9.8332527362,0.0385563876,,
282000,25503.87766,9.5189377362,0.037323492,,
283000,25523.976678,10.5800802638,0.0414515355,,
284000,25483.271127,30.1254707362,0.1182166551,,
285000,25534.392281,20.9956832638,0.0822251144,,
286000,25509.05,4.3465977362,0.017039434,,
287000,25508.335192,5.0614057362,0.0198421641,,
288000,25513.356597,0.0400007362,0.0001567835,,
289000,25517.434256,4.0376582638,0.0158231358,,
290000,25524.14931,10.7527122638,0.0421276029,,
291000,25511.917182,1.4794157362,0.0057989203,,
292000,25526.896575,13.4999772638,0.0528853056,,
293000,25509.927304,3.4692937362,0.013599779,,
294000,25525.49966,12.1030622638,0.0474155743,,
295000,25531.496271,18.0996732638,0.0708915493,,
296000,25488.627365,24.7692327362,0.0971775858,,
297000,25514.458586,1.0619882638,0.0041622998,,
298000,25515.29094,1.8943422638,0.0074243412,,
299000,25516.663545,3.2669472638,0.0128031914,,
300000,25477.067,36.3295977362,0.1425972532,,
301000,25554.137209,40.7406112638,0.1594286316,,
302000,25528.475166,15.0785682638,0.0590656832,,
303000,25524.975248,11.5786502638,0.0453620431,,
304000,25496.453947,16.9426507362,0.0664510083,,
305000,25502.339672,11.0569257362,0.043356515,,
306000,25515.985294,2.5886962638,0.0101453902,,
307000,25522.946254,9.5496562638,0.0374159635,,
308000,25527.289935,13.8933372638,0.0544254298,,
309000,25480.685437,32.7111607362,0.1283762983,,
310000,25501.938065,11.4585327362,0.0449320075,,
311000,25512.813826,0.5827717362,0.0022842315,,
312000,25482.166346,31.2302517362,0.122557287,,
313000,25488.770927,24.6256707362,0.0966138022,,
314000,25511.359554,2.0370437362,0.0079848498,,
315000,25546.053968,32.6573702638,0.1278372398,,
316000,25523.815823,10.4192252638,0.0408215814,,
317000,25555.057413,41.6608152638,0.1630237592,,
318000,25494.685849,18.7107487362,0.0733907797,,
319000,25526.951097,13.5544992638,0.0530987787,,
320000,25524.813438,11.4168402638,0.0447283985,,
321000,25506.743302,6.6532957362,0.026084458,,
322000,25509.484161,3.9124367362,0.0153371848,,
323000,25494.85418,18.5424177362,0.0727300404,,
324000,25504.258025,9.1385727362,0.0358315569,,
325000,25526.622154,13.2255562638,0.0518108357,,
326000,25525.26319,11.8665922638,0.0464895981,,
327000,25502.906728,10.4898697362,0.0411320554,,
328000,25484.36311,29.0334877362,0.1139266758,,
329000,25495.175076,18.2215217362,0.0714704711,,
330000,25548.575152,35.1785542638,0.1376928226,,
331000,25482.64713,30.7494677362,0.1206682633,,
332000,25523.919277,10.5226792638,0.0412267377,,
333000,25491.951051,21.4455467362,0.0841267375,,
334000,25532.42994,19.0333422638,0.0745457534,,
335000,25487.423284,25.9733137362,0.101906393,,
336000,25510.102976,3.2936217362,0.0129110484,,
337000,25523.050742,9.6541442638,0.0378251972,,
338000,25529.022781,15.6261832638,0.0612094846,,
339000,25523.60944,10.2128422638,0.0400133151,,
340000,25495.496176,17.9004217362,0.0702101329,,
341000,25478.884164,34.5124337362,0.1354550439,,
342000,25483.861404,29.5351937362,0.1158976392,,
343000,25501.721866,11.6747317362,0.0457801704,,
344000,25516.509302,3.1127042638,0.0121987856,,
345000,25497.754783,15.6418147362,0.0613458513,,
346000,25525.926879,12.5302812638,0.0490884477,,
347000,25514.900576,1.5039782638,0.0058945096,,
348000,25501.664655,11.7319427362,0.0460046154,,
349000,25512.337822,1.0587757362,0.0041500538,,
350000,25523.075143,9.6785452638,0.0379207647,,
351000,25517.900855,4.5042572638,0.0176513628,,
352000,25516.921875,3.5252772638,0.0138154487,,
353000,25533.264023,19.8674252638,0.0778099707,,
354000,25513.725141,0.3285432638,0.0012877119,,
355000,25518.534085,5.1374872638,0.0201323761,,
356000,25510.099719,3.2968787362,0.0129238175,,
357000,25508.564706,4.8318917362,0.0189422329,,
358000,25470.593575,42.8030227362,0.1680487838,,
359000,25495.591365,17.8052327362,0.069836516,,
360000,25519.305,5.9084022638,0.023152677,,
361000,25485.9759,27.4206977362,0.1075913194,,
362000,25544.741713,31.3451152638,0.1227067223,,
363000,25529.668044,16.2714462638,0.06373544,,
364000,25505.143407,8.2531907362,0.032358927,,
365000,25506.367123,7.0294747362,0.0275596862,,
366000,25516.495902,3.0993042638,0.012146277,,
367000,25499.067302,14.3292957362,0.056195372,,
368000,25523.3375,9.9409022638,0.0389482851,,
369000,25489.969648,23.4269497362,0.0919065423,,
370000,25514.415676,1.0190782638,0.0039941274,,
